Название	Название-2	Соседние станции	Субъект РФ	Направление	lat	lng
Струя	Струя	Черусти, Тасин (Владимирская область)	МОСКОВСКАЯ ОБЛАСТЬ	Горьковская ж.д., Муромское отд.	-	-
140 КМ			МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
61 км			МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
АКУЛОВО	Акулово	221 км, 214 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
Аэропорт Шереметьево	Аэропорт Шереметьево		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
БАРМИНО	Бармино	29 км, Сазоново	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
БЕКАСОВО-СОРТИРОВОЧНОЕ-П21	ЕСР: 180006		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
БЕКАСОВО-СОРТИРОВОЧНОЕ-Ч	ЕСР: 180006		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
Белокаменная		Ростокино, Черкизово	Г.МОСКВА	Московская ж.д.		
Бойня		Угрешская	Г.МОСКВА	Московская ж.д.		
БП 320 КМ			МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
БУТОВО	ЕСР: 191208		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ВЛАДЫКИНО-М			Г.МОСКВА	Московская ж.д.		
ДАВЫДОВО-НЕЧ	ЕСР: 231706		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
Канатчиково		Воробьевы Горы, Кожухово	Г.МОСКВА	Московская ж.д.		
Кожухово		Канатчиково, Угрешская	Г.МОСКВА	Московская ж.д.		
Лихоборы		Братцево, Владыкино-Московское	Г.МОСКВА	Московская ж.д.		
ЛОСИНООСТРОВСКАЯ МОК	ЕСР: 195406		Г.МОСКВА	Московская ж.д.		
ЛОСИНООСТРОВСКАЯ-Н	ЕСР: 195406		Г.МОСКВА	Московская ж.д.		
ЛОСИНООСТРОВСКАЯ-НЕЧ	ЕСР: 195406		Г.МОСКВА	Московская ж.д.		
ЛОСИНООСТРОВСКАЯ-Ч	ЕСР: 195406		Г.МОСКВА	Московская ж.д.		
ЛОСИНООСТРОВСКАЯ-ЧЕТ	ЕСР: 195406		Г.МОСКВА	Московская ж.д.		
ЛЮБЕРЦЫ-1-ВОСТ	ЕСР: 194206		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ЛЮБЕРЦЫ-1-Н	ЕСР: 194206		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ЛЮБЕРЦЫ-1-Н1	ЕСР: 194206		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ЛЮБЕРЦЫ-1-У	ЕСР: 194206		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ЛЮБЕРЦЫ-1-Ч	ЕСР: 194206		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ЛЮБЕРЦЫ-1-Я	ЕСР: 194206		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ЛЮБЛИНО-СОРТИРОВОЧНОЕ-Н	ЕСР: 190008		Г.МОСКВА	Московская ж.д.		
ЛЮБЛИНО-СОРТИРОВОЧНОЕ-Ч	ЕСР: 190008		Г.МОСКВА	Московская ж.д.		
ЛЮБЛИНО-СОРТИРОВОЧНОЕ-Ю	ЕСР: 190008		Г.МОСКВА	Московская ж.д.		
МОСКВА-ВХОД-КИЕВ	ЕСР: 198103		Г.МОСКВА	Московская ж.д.		
МОСКВА-П-КУР	ЕСР: 191602		Г.МОСКВА	Московская ж.д.		
МОСКВА-РИЖ	ЕСР: 196127		Г.МОСКВА	Московская ж.д.		
МОСКВА-ТОВ-СМОЛ-ЧЕТ	ЕСР: 198207		Г.МОСКВА	Московская ж.д.		
НОГИНСК-ЧЕТ	ЕСР: 231000		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОП 32 КМ			МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
Орехово-1	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОРЕХОВО-ЗУЕВО-В	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОРЕХОВО-ЗУЕВО-П	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОРЕХОВО-ЗУЕВО-ПАРК А	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОРЕХОВО-ЗУЕВО-ПАРК В	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОРЕХОВО-ЗУЕВО-ПАРК Д	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОРЕХОВО-ЗУЕВО-ПАРК Т	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОРЕХОВО-ЗУЕВО-ПАРК У	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ОРЕХОВО-ЗУЕВО-Ч	ЕСР: 230008		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ПЕРОВО НБ	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-4	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-А	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-К	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-Н	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-П1	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-П10	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-П7	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-П9	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПЕРОВО-Ч	ЕСР: 193805		Г.МОСКВА	Московская ж.д.		
ПОТОЧИНО-М	ЕСР: 237609		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ПУТЕВОЙ ПОСТ 97 КМ			МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
Ростокино		Владыкино-Московское, Белокаменная	Г.МОСКВА	Московская ж.д.		
СЕВЕРНЫЙ ПОСТ			Г.МОСКВА	Московская ж.д.		
СЕРЕБРЯН БОР			Г.МОСКВА	Московская ж.д.		
СОФРИНО-НЕЧ	ЕСР: 236004		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
ТЕРМИНАЛ-ВНУКОВО			МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д.		
Угрешская		Андроновка, Москва-Южный Порт, Кожухово, Бойня	Г.МОСКВА	Московская ж.д.		
12 км	Разъезд 12 км	Лошатовка, Клемово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
121 км	121 км	123 км, Ожерелье	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
